author,250-499,500-749,750-999,<250,>=1000
Christopher Pike,1,0,0,0,0
Christopher Pinney,1,0,0,1,0
Christopher Priest,1,0,0,0,0
Christopher Schmitt,0,1,0,0,0
Christopher Stasheff,1,0,0,0,0
Chuck Klosterman,4,0,0,1,0
Chuck Palahniuk,10,0,0,5,0
Chuck Williams,0,0,0,1,0
Ciruelo Cabral,0,0,0,1,0
Claire Brennan,0,0,0,1,0
Claire McNab,0,0,0,1,0
Claire Messud,2,0,0,1,0
Clare Naylor,1,0,0,0,0
Claudia Bishop,0,0,0,1,0
Claudia Carroll,1,0,0,0,0
Clayton M. Christensen,1,0,0,0,0
Clement Greenberg,1,0,0,0,0
Clifford D. Simak,1,0,0,0,0
CliffsNotes,0,0,0,1,0
Clint Willis,0,1,0,0,0
Clive Barker,3,7,0,1,0
Clive Cussler,14,13,0,0,0
Cody Goodfellow,0,0,0,1,0
Cole Porter,0,1,0,0,0
Colin      Wells,1,0,0,0,0
Colin  Wells,1,0,0,0,0
Colin Duriez,1,0,0,1,0
Colin McGinn,1,0,0,0,0
Colin Wilson,0,2,0,1,0
Colleen McCullough,2,1,5,0,2
Colleen Sexton,0,0,0,1,0
Colm Tóibín,2,0,0,2,0
Colson Whitehead,2,0,0,0,0
Colum McCann,1,0,0,0,0
Commander X,0,0,0,1,0
Confucius,2,0,0,1,0
Connie Mason,1,0,0,0,0
Connie Willis,1,0,1,4,0
Constance Ash,1,0,0,0,0
Cook's Illustrated Magazine,1,0,0,3,0
Cordwainer Smith,1,0,0,0,0
Corinne Hofmann,1,0,0,0,0
Cormac McCarthy,5,0,0,2,1
Cornel West,0,0,0,1,0
Cornelia Funke,0,2,0,3,0
Cornelius Agrippa,0,0,0,0,1
Cornell Woolrich,1,0,0,1,0
Cory Doctorow,1,0,0,3,0
Courtney E. Martin,1,0,0,0,0
Craig Keller,0,0,0,1,0
Craig Scharlin,0,0,0,1,0
Craig Thompson,0,1,0,4,0
Crissy Trask,0,0,0,1,0
Crystal Lacey Winslow,1,0,0,0,0
Curtis Saxton,0,0,0,1,0
Curtis Sittenfeld,1,0,0,0,0
Cynthia Chin-Lee,0,0,0,1,0
Cynthia Harrod-Eagles,7,2,0,0,0
Cynthia J. Arnson,1,0,0,0,0
Cynthia Rylant,0,0,0,4,0
Cynthia Voigt,3,0,0,0,0
Cynthia W. Shelmerdine,0,0,0,1,0
D. Medina Lasansky,1,0,0,0,0
D.B. Wyndham-Lewis,1,0,0,0,0
D.C. Talk,1,0,0,1,0
D.H. Lawrence,2,5,0,0,1
D.T. Max,2,0,0,0,0
D.W. Buffa,1,0,0,0,0
D.W. Meinig,0,1,0,0,0
Dai Sijie,0,0,0,2,0
Daidōji Yūzan,0,0,0,1,0
Daisy Meadows,0,0,0,5,0
Dalai Lama XIV,1,0,0,1,0
Dale Brown,3,0,0,0,0
Dale Carnegie,6,1,0,1,0
Dale Peck,2,0,0,1,0
Dale Peterson,1,0,0,0,0
Dallas Willard,1,0,0,0,0
Damion Hunter,1,0,0,0,0
Dan B. Allender,0,0,0,1,0
Dan Birlew,1,0,0,1,0
Dan Brown,5,9,1,2,0
